case_id,source_duration_sec,window_count,window_duration_sec,asr_record_count,asr_word_count,empty_asr_record_count,timestamp_order_violation_count,missing_word_timestamp_count,mean_word_confidence,green_words,yellow_words,red_words,nbest_record_count,nbest_beam_count,nbest_multiple_record_count,detected_speakers,diarization_segments,diarization_rtf,acoustic_speaker_mapping_coverage,resolved_speaker_mapping_coverage,ambiguous_overlap_word_count
case_0002,1099.824,37,1099.797,37,3351,0,0,0,0.9376698562578066,2054,832,465,37,169,37,4,856,0.00504227499906546,0.8015517755893763,0.8087138167711131,583
case_0003,2402.76,81,2402.731,81,3423,0,0,0,0.963542181084631,2894,450,79,81,361,81,4,513,0.005037498479945576,0.9295939234589541,0.9538416593631318,37
case_0005,2960.16,99,2960.128,99,2711,0,0,7,0.9199388021773214,1125,1016,570,99,437,99,4,461,0.004092723272439424,0.9151604573957949,0.9192180007377352,22
case_0006,1200.72,41,1200.683,41,3303,0,0,0,0.9550340766091504,2553,524,226,41,200,41,4,465,0.004306764439792684,0.9122010293672419,0.9255222524977293,86
case_0008,858.984,29,858.944,29,923,0,0,0,0.955921654462077,711,172,40,29,132,29,4,193,0.004796809935221897,0.9111592632719393,0.9154929577464789,40
case_0010,421.176,15,421.141,15,1223,0,0,0,0.9668587566245206,1072,124,27,15,71,15,4,100,0.004571951931819277,0.9403107113654947,0.9435813573180704,24
case_0012,524.784,18,524.757,18,683,0,0,0,0.9546431019583429,520,130,33,18,81,18,3,122,0.0042633557689401285,0.8872620790629575,0.9106881405563689,27
case_0015,414.216,14,414.187,14,1110,0,0,0,0.9681250616227751,993,92,25,14,68,14,4,228,0.005001698616883239,0.827027027027027,0.8522522522522522,68
case_0021,2271.84,76,2271.808,76,4951,0,0,0,0.9548268023788651,3832,768,351,76,352,76,4,748,0.003991171033379575,0.9188042819632397,0.9474853564936376,109
case_0022,328.68,11,328.64,11,771,0,0,0,0.9530478145590351,579,146,46,11,54,11,4,151,0.00509786135284885,0.9156939040207522,0.933852140077821,11
case_0024,1894.296,64,1894.272,64,3540,0,0,0,0.9387911700879552,2382,867,291,64,307,64,4,1024,0.0043109534100700215,0.8949152542372881,0.9002824858757063,316
case_0025,397.224,14,397.184,14,910,0,0,0,0.9453916049607396,609,228,73,14,58,14,4,127,0.005449552018710736,0.9175824175824175,0.9307692307692308,22
case_0029,1342.272,45,1342.229,45,3914,0,0,0,0.9325882295694764,2849,755,310,45,209,45,4,565,0.004673415308020837,0.9090444557996934,0.9251405212059275,156
case_0033,325.344,11,325.312,11,752,0,0,0,0.9463603561065498,516,154,82,11,49,11,4,263,0.006293187586071484,0.6476063829787234,0.6582446808510638,249
case_0034,1553.28,52,1553.237,52,3558,0,0,0,0.9636443898083631,2989,444,125,52,250,52,4,730,0.004772642994120863,0.8864530635188308,0.9044406970207982,225
case_0038,1171.416,40,1171.392,40,2566,0,0,0,0.9455423305187681,1748,581,237,40,183,40,4,480,0.005093010823874158,0.8819173811379579,0.9025720966484801,100
case_0039,708.888,24,708.864,24,1448,0,0,0,0.951119422988025,1124,195,129,24,113,24,4,243,0.004743768346255287,0.899171270718232,0.9295580110497238,30
case_0040,763.032,26,762.987,26,1870,0,0,0,0.9495040574747177,1307,423,140,26,116,26,4,338,0.004728254229206408,0.9155080213903743,0.9219251336898395,84
case_0043,1502.784,51,1502.741,51,814,0,0,0,0.8820983375396803,173,258,383,51,206,50,4,244,0.004665949053276134,0.6855036855036855,0.7076167076167076,3
case_0045,1147.224,39,1147.2,39,695,1,0,0,0.9139249283118925,311,196,188,39,171,39,4,392,0.005386805805438893,0.8820143884892087,0.902158273381295,13
case_0046,522.576,18,522.539,18,1539,0,0,0,0.9647231372902783,1337,148,54,18,88,18,4,226,0.006263012162138672,0.9311241065627031,0.9577647823261858,22
case_0051,456.216,16,456.192,16,954,0,0,0,0.9498547000081691,682,203,69,16,75,16,4,166,0.005951598642675946,0.8742138364779874,0.8867924528301887,61
case_0054,406.248,14,406.208,14,1443,0,0,0,0.9710213371125823,1329,95,19,14,65,14,3,181,0.005112364291200717,0.9237699237699237,0.9674289674289674,10
case_0056,1552.8,52,1552.768,52,2934,0,0,1,0.9492807067657034,2095,645,194,52,240,52,4,436,0.00492268099613086,0.8929788684389911,0.9120654396728016,25
case_0057,301.272,11,301.227,11,985,0,0,0,0.9612568063212829,835,127,23,11,51,11,4,128,0.0058633951614925975,0.8629441624365483,0.884263959390863,53
case_0058,2037.024,68,2036.992,68,1898,0,0,5,0.948381799024987,1329,411,158,68,297,68,4,588,0.004888746587615697,0.9072708113804004,0.9246575342465754,24
case_0059,1239.768,42,1239.723,42,2466,0,0,0,0.952015197676534,1884,375,207,42,186,42,4,598,0.0042726087280705125,0.9071370640713706,0.9209245742092458,114
case_0062,614.688,21,614.656,21,1812,0,0,0,0.8703904194284511,766,585,461,21,96,20,4,251,0.006232384849412665,0.9266004415011038,0.9464679911699779,66
case_0066,312.696,11,312.661,11,845,0,0,0,0.959866550513604,684,127,34,11,53,11,4,136,0.005801038458942177,0.893491124260355,0.8982248520710059,28
case_0068,280.704,10,280.661,10,726,0,0,2,0.9664011791360864,642,60,24,10,43,10,4,97,0.005766690022805949,0.9393939393939394,0.9586776859504132,17
case_0076,1547.712,52,1547.669,52,811,0,0,3,0.8648222080973665,111,244,456,52,217,52,4,322,0.004675569562781672,0.9001233045622689,0.9013563501849569,35
case_0077,3789.096,127,3789.056,127,3844,0,0,3,0.9180363593188784,2328,1050,466,127,582,127,4,801,0.00469095793516912,0.9003642039542143,0.9086888657648283,138
case_0079,354.96,12,354.923,12,1052,0,0,0,0.9399889386137212,679,199,174,12,54,12,2,119,0.005856612581295833,0.9220532319391636,0.9477186311787072,21
case_0080,1534.68,52,1534.656,52,2283,0,0,0,0.9436380923549968,1538,471,274,52,248,52,4,363,0.0040073607753137105,0.9176522120017521,0.9351730179588261,35
case_0081,409.68,14,409.643,14,1064,0,0,0,0.9280850200800567,536,362,166,14,68,14,4,184,0.004232270707872062,0.8148496240601504,0.8298872180451128,131
case_0087,560.688,19,560.661,19,1486,0,0,0,0.9584732530499372,1187,233,66,19,90,19,4,235,0.004219812169154072,0.9037685060565276,0.9098250336473755,113
case_0093,564.792,19,564.757,19,843,0,0,0,0.9491423938384407,613,155,75,19,81,19,4,167,0.004250822357122214,0.933570581257414,0.9430604982206405,17
case_0100,1894.152,64,1894.123,64,3573,0,0,0,0.9146689616944781,2630,621,322,64,298,64,2,523,0.0042223223156443515,0.8902882731598096,0.9163168205989365,82
case_0104,491.784,17,491.755,17,1019,0,0,0,0.8553433492047037,529,216,274,17,75,17,3,161,0.006232972778729086,0.9391560353287537,0.9528949950932286,24
case_0106,466.224,16,466.197,16,1135,0,0,0,0.9283716649098146,584,364,187,16,71,16,4,141,0.005365832049140614,0.9074889867841409,0.9215859030837005,35
